molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL3582257,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNC(CO)(CO)CO,active,6.0
CHEMBL3582256,COc1cc(OCc2cccc(-c3ccccc3)c2C#N)cc(OC)c1CN1CCCC[C@H]1C(=O)O,active,6.0
CHEMBL3582255,Cc1c(COc2ccc(CNCC3CCC(=O)N3)cc2)cccc1-c1ccccc1,intermediate,1010.0
CHEMBL3582254,Cc1c(COc2ccc(CN[C@H](C)C(=O)O)cc2Cl)cccc1-c1ccccc1,active,6.0
CHEMBL3582253,Cc1cc(CN2CCC(C(=O)NCCO)CC2)ccc1OCc1cccc(-c2ccccc2)c1C,active,110.0
CHEMBL3582252,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN1CCCC[C@H]1C(=O)O,active,6.0
CHEMBL4081869,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,active,6.0
CHEMBL4099869,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,active,146.0
CHEMBL4089730,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,active,18.0
CHEMBL4061613,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN[C@@H](CO)C(C)C,active,6.0
CHEMBL4062686,Cc1c(COc2cc(F)c(CNC[C@@H](O)CC(=O)O)cc2F)cccc1-c1ccc2c(c1)OCCO2,active,80.0
CHEMBL4084368,Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cccc(C#N)c2)cc1OCc1cccc(-c2ccc3c(c2)OCCO3)c1C,active,2.25
CHEMBL4071326,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@H](O)C[C@@H]3C(=O)O)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,active,1.4
CHEMBL4089730,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,active,18.0
CHEMBL4099869,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,active,146.0
CHEMBL4062686,Cc1c(COc2cc(F)c(CNC[C@@H](O)CC(=O)O)cc2F)cccc1-c1ccc2c(c1)OCCO2,active,80.0
CHEMBL4288470,CCCC[C@H]1C(=O)N(C)[C@@H](CCCC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(C(=O)NCC(N)=O)CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N2CCCC2C(=O)N[C@@H](CC(C)C)C(=O)NC(=O)N(C)CC(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1C,active,5.2
CHEMBL4639107,Cc1c(-c2ccccc2)cccc1-c1cn2nc(CNCCO)cnc2n1,active,100.0
CHEMBL4636289,Cc1c(-c2ccccc2)cccc1-c1nc2c(s1)CNCC2,active,100.0
CHEMBL4636342,N#Cc1c(-c2ccc3c(c2)OCCO3)cccc1N1CCC(N[C@H]2C[C@@H](O)C2)CC1,active,100.0
CHEMBL4637826,Cc1c(-c2ccccc2)cccc1-c1nc2cc(CNCCO)ccc2o1,active,100.0
CHEMBL4633569,N#Cc1cncc(COc2cc(O[C@H]3CCc4c(-c5ccccc5)cccc43)c(Cl)cc2CN[C@@H](CO)C(=O)O)c1,active,100.0
CHEMBL366760,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1C[C@@](O)(C(=O)O)C[C@H](O)[C@@H]1O,inactive,36560.0
CHEMBL4081869,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,active,100.0
CHEMBL4062686,Cc1c(COc2cc(F)c(CNC[C@@H](O)CC(=O)O)cc2F)cccc1-c1ccc2c(c1)OCCO2,active,100.0
