activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,15614399,[],CHEMBL3583018,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as inhibition of interaction with PD1 preincubated for 15 mins followed by PD1 addition measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNC(CO)(CO)CO,,,CHEMBL3580542,ACS Med. Chem. Lett.,2015,"{'bei': '17.58', 'le': '0.33', 'lle': '5.16', 'sei': '8.19'}",CHEMBL3582257,,CHEMBL3582257,8.22,False,http://www.openphacts.org/units/Nanomolar,2483175,=,1,True,=,,IC50,nM,,6.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,uM,UO_0000065,,0.006
,15614400,[],CHEMBL3583018,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as inhibition of interaction with PD1 preincubated for 15 mins followed by PD1 addition measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(OCc2cccc(-c3ccccc3)c2C#N)cc(OC)c1CN1CCCC[C@H]1C(=O)O,,,CHEMBL3580542,ACS Med. Chem. Lett.,2015,"{'bei': '16.90', 'le': '0.31', 'lle': '2.96', 'sei': '8.93'}",CHEMBL3582256,,CHEMBL3582256,8.22,False,http://www.openphacts.org/units/Nanomolar,2483174,=,1,True,=,,IC50,nM,,6.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,uM,UO_0000065,,0.006
,15614401,[],CHEMBL3583018,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as inhibition of interaction with PD1 preincubated for 15 mins followed by PD1 addition measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(COc2ccc(CNCC3CCC(=O)N3)cc2)cccc1-c1ccccc1,,,CHEMBL3580542,ACS Med. Chem. Lett.,2015,"{'bei': '14.97', 'le': '0.27', 'lle': '1.39', 'sei': '11.91'}",CHEMBL3582255,,CHEMBL3582255,6.00,False,http://www.openphacts.org/units/Nanomolar,2483173,=,1,True,=,,IC50,nM,,1010.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,uM,UO_0000065,,1.01
,15614402,[],CHEMBL3583018,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as inhibition of interaction with PD1 preincubated for 15 mins followed by PD1 addition measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(COc2ccc(CN[C@H](C)C(=O)O)cc2Cl)cccc1-c1ccccc1,,,CHEMBL3580542,ACS Med. Chem. Lett.,2015,"{'bei': '20.06', 'le': '0.39', 'lle': '2.76', 'sei': '14.04'}",CHEMBL3582254,,CHEMBL3582254,8.22,False,http://www.openphacts.org/units/Nanomolar,2483172,=,1,True,=,,IC50,nM,,6.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,uM,UO_0000065,,0.006
,15614403,[],CHEMBL3583018,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as inhibition of interaction with PD1 preincubated for 15 mins followed by PD1 addition measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(CN2CCC(C(=O)NCCO)CC2)ccc1OCc1cccc(-c2ccccc2)c1C,,,CHEMBL3580542,ACS Med. Chem. Lett.,2015,"{'bei': '14.72', 'le': '0.27', 'lle': '2.09', 'sei': '11.26'}",CHEMBL3582253,,CHEMBL3582253,6.96,False,http://www.openphacts.org/units/Nanomolar,2483171,=,1,True,=,,IC50,nM,,110.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,uM,UO_0000065,,0.11
,15614404,[],CHEMBL3583018,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as inhibition of interaction with PD1 preincubated for 15 mins followed by PD1 addition measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN1CCCC[C@H]1C(=O)O,,,CHEMBL3580542,ACS Med. Chem. Lett.,2015,"{'bei': '17.29', 'le': '0.32', 'lle': '2.52', 'sei': '12.05'}",CHEMBL3582252,,CHEMBL3582252,8.22,False,http://www.openphacts.org/units/Nanomolar,2483170,=,1,True,=,,IC50,nM,,6.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,uM,UO_0000065,,0.006
,18080412,[],CHEMBL4017391,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as reduction in PD-L1/PD1-Ig interaction preincubated with PD-L1 for 15 mins followed by addition of PD1-Ig measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,,,CHEMBL4014356,J Med Chem,2017,"{'bei': '18.33', 'le': '0.34', 'lle': '3.74', 'sei': '11.95'}",CHEMBL4081869,,CHEMBL4081869,8.22,False,http://www.openphacts.org/units/Nanomolar,2997001,=,1,True,=,,IC50,nM,,6.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,100.0,6.0
,18080413,[],CHEMBL4017391,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as reduction in PD-L1/PD1-Ig interaction preincubated with PD-L1 for 15 mins followed by addition of PD1-Ig measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,,,CHEMBL4014356,J Med Chem,2017,"{'bei': '13.83', 'le': '0.29', 'lle': '0.40', 'sei': '13.73'}",CHEMBL4099869,,CHEMBL4099869,6.84,True,http://www.openphacts.org/units/Nanomolar,2997002,=,1,True,=,,IC50,nM,,146.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,146.0
,18080414,[],CHEMBL4017391,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as reduction in PD-L1/PD1-Ig interaction preincubated with PD-L1 for 15 mins followed by addition of PD1-Ig measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,,,CHEMBL4014356,J Med Chem,2017,"{'bei': '18.46', 'le': '0.34', 'lle': '3.87', 'sei': '10.69'}",CHEMBL4089730,,CHEMBL4089730,7.75,True,http://www.openphacts.org/units/Nanomolar,2997003,=,1,True,=,,IC50,nM,,18.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,,18.0
,18080415,[],CHEMBL4017391,Binding affinity to His-tagged PD-L1 (unknown origin) assessed as reduction in PD-L1/PD1-Ig interaction preincubated with PD-L1 for 15 mins followed by addition of PD1-Ig measured after 15 mins by HTRF assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN[C@@H](CO)C(C)C,,,CHEMBL4014356,J Med Chem,2017,"{'bei': '18.29', 'le': '0.34', 'lle': '2.86', 'sei': '13.71'}",CHEMBL4061613,,CHEMBL4061613,8.22,False,http://www.openphacts.org/units/Nanomolar,2997004,=,1,True,=,,IC50,nM,,6.0,CHEMBL3580522,Homo sapiens,Programmed cell death 1 ligand 1,9606,,,IC50,nM,UO_0000065,100.0,6.0
