activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,266666,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCN(C(=N)N)C3)[C@H]2C(=O)O)CC1)C(C)C,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '16.27', 'le': '0.31', 'lle': '6.99', 'sei': '5.01'}",CHEMBL432835,,CHEMBL432835,8.05,False,http://www.openphacts.org/units/Nanomolar,207080,=,1,True,=,,IC50,nM,,9.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,9.0
,269175,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCCN(C(=N)N)C3)[C@H]2C(=O)O)CC1)C(C)C,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '14.06', 'le': '0.27', 'lle': '5.70', 'sei': '4.45'}",CHEMBL324621,,CHEMBL324621,7.15,False,http://www.openphacts.org/units/Nanomolar,207082,=,1,True,=,,IC50,nM,,71.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,71.0
,270490,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCCN(C(=N)N)C3)[C@H]2C(=O)O)CC1)C(C)C,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '13.15', 'le': '0.25', 'lle': '5.24', 'sei': '4.17'}",CHEMBL324621,,CHEMBL324621,6.69,False,http://www.openphacts.org/units/Nanomolar,207083,=,1,True,=,,IC50,nM,,204.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,204.0
,271838,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,N=C(N)N1CCCC(C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCC4CCCCC4)CC3)[C@@H]2C(=O)O)C1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '15.95', 'le': '0.31', 'lle': '6.03', 'sei': '5.76'}",CHEMBL109504,,CHEMBL109504,8.72,False,http://www.openphacts.org/units/Nanomolar,207085,=,1,True,=,,IC50,nM,,1.9,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,1.9
,275325,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCCN(C(=N)N)C3)[C@H]2C(=O)O)CC1)C(C)C,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '14.16', 'le': '0.27', 'lle': '5.75', 'sei': '4.48'}",CHEMBL324621,,CHEMBL324621,7.20,False,http://www.openphacts.org/units/Nanomolar,207094,=,1,True,=,,IC50,nM,,63.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,63.0
,275331,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,N=C(N)N1CCC[C@H](C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCc4ccccc4)CC3)[C@@H]2C(=O)O)C1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,,CHEMBL303437,,CHEMBL303437,,True,http://www.openphacts.org/units/Nanomolar,207089,<,1,True,<,,IC50,nM,,1.7,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,1.7
,275339,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,N=C(N)NCCC[C@H]1C(=O)N(C(=O)N2CCN(C(=O)CCCCCc3ccccc3)CC2)[C@@H]1C(=O)O,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,,CHEMBL326209,,CHEMBL326209,,False,http://www.openphacts.org/units/Nanomolar,207087,<,1,True,<,,IC50,nM,,1.7,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,1.7
,281518,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CN(CCCCc1ccccc1)C(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCCN(C(=N)N)C3)[C@H]2C(=O)O)CC1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '14.80', 'le': '0.28', 'lle': '6.51', 'sei': '5.32'}",CHEMBL113591,,CHEMBL113591,8.22,False,http://www.openphacts.org/units/Nanomolar,207092,=,1,True,=,,IC50,nM,,6.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,6.0
,282715,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,N=C(N)N1CCCC(C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)OCCCOc4ccccc4)CC3)[C@@H]2C(=O)O)C1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,,CHEMBL111630,,CHEMBL111630,,False,http://www.openphacts.org/units/Nanomolar,207086,<,1,True,<,,IC50,nM,,1.7,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,1.7
,285045,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,N=C(N)N1CCCC(C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)NCCCCc4ccccc4)CC3)[C@@H]2C(=O)O)C1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,,CHEMBL111173,,CHEMBL111173,,False,http://www.openphacts.org/units/Nanomolar,207084,<,1,True,<,,IC50,nM,,1.7,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,1.7
,287281,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,N=C(N)N1CCC[C@@H](C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCc4ccccc4)CC3)[C@@H]2C(=O)O)C1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,,CHEMBL70738,,CHEMBL70738,,True,http://www.openphacts.org/units/Nanomolar,207088,<,1,True,<,,IC50,nM,,1.7,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,1.7
